Crank Radius,Link Length,Offset,Max Force,Max Torque,Max Velocity,Max Acceleration,Peak Power,Min Link Height,Min Link Width,Min Crank Height,Min Crank Width,Min Pin Diameter,Return Ratio,System Area,Stroke,System Weight,System Volume,Optimization Score
0.1115000000,0.1625000000,0.0470000000,20.1679375010,0.2030457710,0.3753482438,4.8621976600,0.6378871024,0.0031440000,0.0015720000,0.0023800000,0.0011900000,0.0006905000,1.9334961442,0.0850608707,0.2501398921,0.0030210978,0.0003361606,0.8761299109
0.1115000000,0.1605000000,0.0455000000,24.1301149745,0.2034668611,0.3771992497,5.1762332316,0.6392099960,0.0032680000,0.0016340000,0.0023780000,0.0011890000,0.0007106000,1.9650014903,0.0846658284,0.2499808583,0.0031652523,0.0003396793,0.8760384032
0.1125000000,0.1600000000,0.0435000000,17.1457899716,0.2062326845,0.3833156020,4.8664247182,0.6478990865,0.0029960000,0.0014980000,0.0024060000,0.0012030000,0.0006752500,1.9299854637,0.0858387546,0.2499267921,0.0028179989,0.0003351145,0.8760378245
0.1115000000,0.1650000000,0.0485000000,15.0928195179,0.2026106152,0.3735017758,4.3638642068,0.6365200203,0.0029460000,0.0014730000,0.0023860000,0.0011930000,0.0006665000,1.8783752875,0.0855680328,0.2496299722,0.0027901668,0.0003302070,0.8760292396
0.1125000000,0.1590000000,0.0430000000,20.2202849874,0.2064448589,0.3841431370,5.1973113448,0.6485656521,0.0031120000,0.0015560000,0.0024040000,0.0012020000,0.0006895000,1.9633291162,0.0856289740,0.2503743476,0.0029565058,0.0003390907,0.8760065565
0.1125000000,0.1570000000,0.0415000000,24.3965823675,0.2070342928,0.3863481150,5.5896444649,0.6504174132,0.0032420000,0.0016210000,0.0024060000,0.0012030000,0.0007145000,1.9995787680,0.0852267512,0.2502231826,0.0031068935,0.0003432081,0.8759638842
0.1120000000,0.1650000000,0.0480000000,13.6696276568,0.2038020309,0.3759231481,4.3834156707,0.6402629630,0.0028740000,0.0014370000,0.0024000000,0.0012000000,0.0006592500,1.8784684124,0.0861973184,0.2503372523,0.0027107994,0.0003307391,0.8759545922
0.1115000000,0.1640000000,0.0480000000,17.2910040398,0.2027629766,0.3741529287,4.5957278966,0.6369986776,0.0030400000,0.0015200000,0.0023840000,0.0011920000,0.0006780000,1.9048824542,0.0853613422,0.2500201176,0.0029015925,0.0003332507,0.8759283424
0.1130000000,0.1605000000,0.0430000000,13.4104067468,0.2074510628,0.3857338418,4.6053850943,0.6517267348,0.0028220000,0.0014110000,0.0024240000,0.0012120000,0.0006557500,1.8988566593,0.0865802820,0.2499181570,0.0026218809,0.0003320354,0.8758123036
0.1110000000,0.1600000000,0.0460000000,31.2876514385,0.2022925386,0.3748428499,5.5692018058,0.6355207532,0.0034820000,0.0017410000,0.0023740000,0.0011870000,0.0008082000,2.0018542604,0.0839309644,0.2501854642,0.0034633900,0.0003453759,0.8757471718
0.1135000000,0.1560000000,0.0390000000,16.9777584507,0.2102350942,0.3937276817,5.1920520564,0.6604730275,0.0029500000,0.0014750000,0.0024340000,0.0012170000,0.0006730000,1.9572154833,0.0862970412,0.2497738313,0.0027405059,0.0003373351,0.8757228152
0.1125000000,0.1610000000,0.0440000000,14.9182358463,0.2060246818,0.3825322059,4.5924743091,0.6472456270,0.0029020000,0.0014510000,0.0024080000,0.0012040000,0.0006637500,1.9000836152,0.0860484359,0.2495352870,0.0027110773,0.0003320609,0.8756641263
0.1125000000,0.1605000000,0.0440000000,17.2424803832,0.2060715789,0.3827030822,4.8743164470,0.6473929585,0.0030040000,0.0015020000,0.0024060000,0.0012030000,0.0006762500,1.9308465894,0.0859344484,0.2502475556,0.0028344581,0.0003358318,0.8756098283
0.1115000000,0.1645000000,0.0485000000,17.3858734171,0.2026411071,0.3736355853,4.6030262224,0.6366158135,0.0030480000,0.0015240000,0.0023820000,0.0011910000,0.0006787500,1.9055290893,0.0854547737,0.2503335528,0.0029172117,0.0003337863,0.8755568991
0.1115000000,0.1630000000,0.0475000000,20.2914941588,0.2029206616,0.3748163214,4.8699567403,0.6374940596,0.0031540000,0.0015770000,0.0023800000,0.0011900000,0.0006917500,1.9340907976,0.0851545616,0.2504592718,0.0030416287,0.0003369566,0.8755369639
0.1130000000,0.1610000000,0.0435000000,13.4754913742,0.2072865087,0.3850885961,4.6128650008,0.6512097731,0.0028300000,0.0014150000,0.0024220000,0.0012110000,0.0006565000,1.8998883174,0.0866766393,0.2502333288,0.0026356055,0.0003325783,0.8755244839
0.1115000000,0.1655000000,0.0490000000,15.1684464196,0.2025096917,0.3729927217,4.3707827141,0.6362029598,0.0029540000,0.0014770000,0.0023860000,0.0011930000,0.0006675000,1.8790907946,0.0856613512,0.2499380082,0.0028065707,0.0003309098,0.8754872830
0.1115000000,0.1610000000,0.0460000000,24.2997099452,0.2033368881,0.3766181900,5.1845604808,0.6388016738,0.0032780000,0.0016390000,0.0023780000,0.0011890000,0.0007130000,1.9655594755,0.0847599296,0.2503068653,0.0031866889,0.0003404806,0.8754722086
0.1120000000,0.1655000000,0.0480000000,12.2151525118,0.2037679360,0.3757864961,4.1765345655,0.6401558508,0.0028000000,0.0014000000,0.0024040000,0.0012020000,0.0006505000,1.8533208109,0.0863110357,0.2496898088,0.0026254695,0.0003283272,0.8754280613
0.1135000000,0.1565000000,0.0395000000,17.0762262928,0.2100246786,0.3929671026,5.2006537898,0.6598119873,0.0029600000,0.0014800000,0.0024320000,0.0012160000,0.0006740000,1.9583509645,0.0863950697,0.2501023751,0.0027573753,0.0003379775,0.8754157628
0.1125000000,0.1615000000,0.0445000000,14.9948078652,0.2058663528,0.3819305591,4.5999091025,0.6467482215,0.0029100000,0.0014550000,0.0024080000,0.0012040000,0.0006647500,1.9010269405,0.0861440078,0.2498500655,0.0027268992,0.0003327743,0.8752264649
0.1120000000,0.1660000000,0.0485000000,12.2692909256,0.2036495155,0.3752718696,4.1831659371,0.6397838218,0.0028060000,0.0014030000,0.0024020000,0.0012010000,0.0006510000,1.8541629099,0.0864050081,0.2499932234,0.0026368460,0.0003287711,0.8751664734
