Crank Radius,Link Length,Offset,Theta Angle,Phi Angle,Link Normal Stress,Xs,Vs,As
124.000,130.000,4.500,135.000,37.308,0.247,41.964,-383.057,-218.232
124.000,130.000,4.500,150.000,28.047,0.222,22.357,-241.698,-333.830
124.000,130.000,4.500,165.000,15.916,0.204,10.084,-128.158,-426.677
124.000,130.000,4.500,180.000,1.983,0.196,5.983,-50.175,-490.448
124.000,130.000,4.500,195.000,-12.070,0.201,10.331,-13.062,-520.797
124.000,130.000,4.500,210.000,-24.524,0.216,22.834,-19.349,-515.656
124.000,130.000,4.500,225.000,-34.210,0.237,42.638,-68.608,-475.375
124.000,130.000,4.500,240.000,-40.758,0.259,68.395,-157.481,-402.699
124.000,130.000,4.500,255.000,-44.405,0.275,98.349,-279.912,-302.580
124.000,130.000,4.500,270.000,-45.558,0.280,130.459,-427.558,-181.841
124.000,130.000,4.500,285.000,-44.405,0.275,162.536,-590.358,-48.707
124.000,130.000,4.500,300.000,-40.758,0.259,192.395,-757.216,87.746
124.000,130.000,4.500,315.000,-34.210,0.237,218.001,-916.763,218.222
124.000,130.000,4.500,330.000,-24.524,0.216,237.608,-1058.124,333.827
124.000,130.000,4.500,345.000,-12.070,0.201,249.881,-1171.666,426.683
124.000,130.000,4.500,360.000,1.983,0.196,253.983,-1249.651,490.460
,,,,,,,,
123.500,130.000,5.500,15.000,16.284,0.204,249.148,-1284.178,518.712
123.500,130.000,5.500,30.000,28.335,0.223,236.695,-1277.916,513.591
123.500,130.000,5.500,45.000,37.523,0.247,216.970,-1228.855,473.468
123.500,130.000,5.500,60.000,43.609,0.271,191.317,-1140.338,401.078
123.500,130.000,5.500,75.000,46.934,0.287,161.483,-1018.398,301.355
123.500,130.000,5.500,90.000,47.973,0.293,129.503,-871.345,181.095
123.500,130.000,5.500,105.000,46.934,0.287,97.555,-709.201,48.496
123.500,130.000,5.500,120.000,43.609,0.271,67.817,-543.015,-87.407
123.500,130.000,5.500,135.000,37.523,0.247,42.315,-384.114,-217.352
123.500,130.000,5.500,150.000,28.335,0.223,22.787,-243.325,-332.484
123.500,130.000,5.500,165.000,16.284,0.204,10.564,-130.243,-424.957
123.500,130.000,5.500,180.000,2.423,0.196,6.479,-52.574,-488.470
123.500,130.000,5.500,195.000,-11.583,0.200,10.810,-15.611,-518.697
123.500,130.000,5.500,210.000,-24.025,0.215,23.262,-21.873,-513.576
123.500,130.000,5.500,225.000,-33.730,0.236,42.987,-70.933,-473.458
123.500,130.000,5.500,240.000,-40.312,0.257,68.640,-159.447,-401.075
123.500,130.000,5.500,255.000,-43.989,0.273,98.473,-281.385,-301.360
123.500,130.000,5.500,270.000,-45.154,0.278,130.453,-428.436,-181.107
123.500,130.000,5.500,285.000,-43.989,0.273,162.401,-590.579,-48.511
123.500,130.000,5.500,300.000,-40.312,0.257,192.140,-756.764,87.393
123.500,130.000,5.500,315.000,-33.730,0.236,217.642,-915.667,217.342
123.500,130.000,5.500,330.000,-24.025,0.215,237.170,-1056.459,332.481
